R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,0,0,0,1.672097858,0.301029996,3.398100539,0,0,0
1.799340549,0.301029996,3.587076807,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.170261715,0,3.200960356
2.100370545,0,3.156222197,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.139879086,0,3.6787818,0,0,0
0,0,0,0,0,0,2.041392685,0,3.115372737,1.851258349,0,3.673561094
0,0,0,0.77815125,0,3.395970697,0.698970004,0,3.626694535,0,0,0
0,0,0,0,0,0,1.176091259,0,3.017196484,0,0,0
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676
0,0,0,0,0,0,2.071882007,0,3.573656945,0,0,0
1.954242509,0,2.662948622,0,0,0,0,0,0,1.892094603,0,3.39707055
2.204119983,0.602059991,4.495859569,0,0,0,0.77815125,0.301029996,3.978056865,1.342422681,0.301029996,3.849138579
0,0,0,0,0,0,2.033423755,0,2.931339283,0,0,0
0,0,0,0,0,0,2.158362492,0.301029996,3.649961075,0,0,0
0,0,0,0,0,0,2.164352856,0,3.44667545,0,0,0
0,0,0,0,0,0,1.176091259,0,3.017196484,0,0,0
0,0,0,1.69019608,0,3.407626509,0,0,0,1.301029996,0,3.408333676
0,0,0,1.792391689,0.301029996,2.858824466,2.178976947,0.301029996,2.897277116,0,0,0
0,0,0,0,0,0,2.245512668,0,3.6787818,0,0,0
0,0,0,1.113943352,0.301029996,3.434568904,0,0,0,0,0,0
1.973127854,0.477121255,4.045815878,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.201397124,0.301029996,3.587471795,0,0,0
0,0,0,1.531478917,0,3.130922206,0,0,0,0,0,0
0,0,0,0,0,0,1.851258349,0,3.268157915,2.123851641,0,3.678081611
1.740362689,0.301029996,3.426847698,0,0,0,0,0,0,0,0,0
1.949390007,0,2.662948622,0,0,0,0,0,0,1.812913357,0,3.359667916
1.84509804,0.301029996,3.529549127,0,0,0,0,0,0,0.77815125,0,3.189770956
1.819543936,0,3.510764622,0,0,0,0.903089987,0,3.318226479,0,0,0
0,0,0,1.462397998,0,3.755293519,0,0,0,0,0,0
2.204119983,0,2.714808585,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.204119983,0,3.193772609,0.84509804,0.301029996,4.000860393
2.204119983,0,2.714808585,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2.158362492,0.477121255,3.819797832,2.123851641,0,3.200960356
2.021189299,0,3.172705261,0,0,0,0,0,0,0,0,0
2.100370545,0,3.379124146,1.792391689,0,3.679763559,0,0,0,1.892094603,0,3.981365509
0,0,0,1.806179974,0,3.097725445,0,0,0,0,0,0
2.204119983,0,3.306178729,0,0,0,0,0,0,1.897627091,0,3.341165357
1.612783857,0,3.409187392,0,0,0,0,0,0,0,0,0
2.146128036,0.477121255,3.749162805,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.245512668,0,3.39624166
2.187520721,0,3.169302314,0,0,0,1.755874856,0,3.100703083,0,0,0
1.799340549,0,3.355710667,0,0,0,0,0,0,0,0,0
0,0,0,1.897627091,0,3.506828085,0,0,0,1.361727836,0,3.448755123
0,0,0,1.431363764,0,3.097725445,0,0,0,0,0,0
0,0,0,1.342422681,0.477121255,3.849439352,0,0,0,0,0,0
0,0,0,1.763427994,0,3.407626509,0,0,0,0,0,0
1.819543936,0,3.142787837,1.892094603,0,3.130922206,2.033423755,0,2.931339283,1.579783597,0,3.130799164
0,0,0,1.707570176,0.301029996,3.45304196,0,0,0,0,0,0
0,0,0,2.1430148,0,3.155354746,0,0,0,1.886490725,0,3.136951054
0,0,0,0,0,0,2.075546961,0,3.327990176,0,0,0
0,0,0,0,0,0,2.053078443,0,2.969554195,0,0,0
1.672097858,0,3.723687452,0,0,0,0,0,0,0,0,0
2.198657087,0,3.076439257,0,0,0,0,0,0,0,0,0
1.73239376,0,3.133538908,0,0,0,0,0,0,0,0,0
1.86332286,0.477121255,3.573503546,1.113943352,0.477121255,3.753446457,0,0,0,0,0,0
2.11058971,0,3.379124146,0,0,0,0,0,0,1.886490725,0.301029996,3.676974662
1.505149978,0.477121255,3.253327923,0.301029996,0,3.052576852,1.838849091,0.301029996,3.4714017,1.431363764,0,3.380338025
2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0
1.973127854,0,3.680154142,1.982271233,0,3.66530178,0.602059991,0,3.626694535,0,0,0
1.84509804,0.301029996,3.265008614,1.995635195,0,3.139879086,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.133538908,0,3.139879086
0,0,0,0,0,0,2.1430148,0,3.6787818,0,0,0
0,0,0,0,0,0,0,0,0,2.130333768,0,3.699059849
0,0,0,0,0,0,1.954242509,0.301029996,3.591366693,0,0,0
1.954242509,0,2.662948622,0,0,0,0,0,0,0,0,0
2.089905111,0,2.714808585,0,0,0,0,0,0,0,0,0
2.064457989,0,3.089745848,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.056904851,0,3.137300608
0,0,0,0,0,0,0,0,0,1,0.602059991,3.996542027
